IRI;base IRI;parentId;id;title_cs;title_en;definition_cs;definition_en
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Creator;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;;Creator;Autor;Creator;Hlavní tvůrci (výzkumníci) zapojení do tvorby dat nebo autoři publikace, v pořadí podle priority. U přístrojů se jedná o výrobce nebo vývojáře přístroje. Chcete-li uvést více tvůrců, uveďte tuto roli opakovaně.;The main researchers involved in producing the data, or the authors of the publication, in priority order. For instruments this is the manufacturer or developer of the instrument. To supply multiple creators, repeat this property.
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Publisher;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;;Publisher;Vydavatel;Publisher;Název subjektu, který zdroj uchovává, archivuje, publikuje, distribuuje, zveřejňuje, vydává nebo produkuje. Tento popisný údaj slouží následně k citování a žádosti o DOI, proto je třeba zvážit určení této role.;The name of the entity that holds, archives, publishes, prints, distributes, releases, issues, or produces the resource. This property will be used to formulate the citation, so consider the prominence of the role.
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;;Contributor;Přispěvatel;Contributor;Instituce nebo osoba, která přispěla k vytvoření, kompletaci, správě, distribuci datasetu nebo se podílela na vzniku zdroje jiným způsobem. Chcete-li uvést více přispěvatelů, uveďte tuto roli opakovaně.;The institution or person responsible for collecting, managing, distributing, or otherwise contributing to the development of the resource. To supply multiple contributors, repeat this property.
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/ContactPerson;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;ContactPerson;Kontaktní osoba;Contact Person;"Osoba se znalostí možností přístupu ke zdroji a jeho případná omezení, může řešit problémy související s dostupností zdroje. 
Může být také „kontaktní osobou“ v organizaci, která určuje přístup ke zdroji, pokud se tato organizace liší od vydavatele, distributora a správce dat.";"Person with knowledge of how to access, troubleshoot, or otherwise field issues related to the resource.
May also be the “Point of Contact” in an organisation that controls access to the resource, if that organisation is different from the Publisher, Distributor, and Data Manager."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/DataCollector;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;DataCollector;Sběratel dat;Data Collector;"Osoba/instituce odpovědná za vyhledávání nebo shromažďování dat podle pokynů autora/autorek nebo hlavního řešitele. 
Lze také použít pro autory průzkumu, tazatele, pozorovatele událostí nebo podmínek nebo osob odpovědných za monitorování klíčových dat z přístrojů.";"Person/institution responsible for finding or gathering/collecting data under the guidelines of the author(s) or Principal Investigator (PI).
May also be used when crediting survey conductors, interviewers, event or condition observers, or persons responsible for monitoring key instrument data."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/DataCurator;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;DataCurator;Kurátor dat;Data Curator;"Osoba pověřená kontrolou, obohacením, čištěním nebo standardizací metadat a souvisejících dat odeslaných k uložení, použití a archivaci v datovém centru nebo repozitáři. 
Zatímco správce dat se zabývá digitální údržbou, role kurátora dat zahrnuje zajištění kvality zaměřené na obsah a metadata. Mezi odpovědnosti kurátora dat patří: kontrola úplnosti odeslaného datasetu oproti obsahu datasetu popsaného odesílatelem; zajištění a kontrola metadatového popisu podle pravidel příslušného schématu či systému; přidávání nebo ověřování specializovaných metadat za účelem zvýšení hodnoty a zajištění přístupu napříč obory; a určení, jak by se metadata mohla mapovat na vyhledávače, databázové produkty atd. Do této kategorie spadají i správci repozitářů a také datoví knihovníci v roli kurátora daného repozitáře.";"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and the associated data submitted for storage, use, and maintenance within a data centre or repository.
While the DataManager is concerned with digital maintenance, the DataCurator’s role encompasses quality assurance focused on content and metadata. DataCurator responsibilities include: checking completeness of the submitted dataset against the content as described by the submitter; verifying standard metadata according to the applicable system or schema; adding or verifying specialized metadata to add value and ensure access across disciplines; and determining how the metadata might map to search engines, database products, and automated feeds.

Repository managers as well as data librarians working in the repository fall within this category."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/DataManager;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;DataManager;Manažer dat;Data Manager;"Osoba (nebo organizace s týmem správců dat, například datové centrum) odpovědná za údržbu hotového zdroje. 
Osoba nebo organizace v této roli zajišťuje, že zdroj je pravidelně „aktualizován“ z hlediska softwarové/hardwarové podpory, je zajištěna jeho dostupnost nebo ochrana před neoprávněným přístupem, uložení v souladu s oborovými standardy a že je se zdrojem nakládáno v souladu s platnými požadavky na správu záznamů.";"Person (or organisation with a staff of data managers, such as a data centre) responsible for maintaining the finished resource.
The work done by this person or organisation ensures that the resource is periodically “refreshed” in terms of software/hardware support, is kept available or is protected from unauthorized access, is stored in accordance with industry standards, and is handled in accordance with the records management requirements applicable to it."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/Distributor;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;Distributor;Distributor;Distributor;"Instituce pověřená generováním/šířením kopií zdroje v elektronické nebo tištěné podobě. 
Pokud jsou díla uložená ve více než jednom archivu/repozitáři, je možné jako distributora uvést oba archivy/repozitáře.";"Institution tasked with responsibility to generate/disseminate copies of the resource in either electronic or print form.
Works stored in more than one archive/repository may credit each as a distributor."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/Editor;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;Editor;Editor;Editor;"Osoba, která dohlíží na detaily týkající se publikačního formátu zdroje. 
Poznámka: Pokud má být editor uveden místo více tvůrců, může být uveden i jako tvůrce s připojeným „(Ed.)“ za jménem.";"A person who oversees the details related to the publication format of the resource.
Note: if the Editor is to be credited in place of multiple creators, the Editor’s name may be supplied as Creator, with “(Ed.)” appended to the name."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/HostingInstitution;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;HostingInstitution;Hostující instituce;Hosting Institution;"Obvykle se jedná o organizaci, která umožňuje zpřístupnění zdroje na internetu prostřednictvím poskytování hardwarové/softwarové/provozní podpory. 
Tato role obvykle připadá univerzitě, výzkumnému centru nebo organizaci, která datové úložiště provozuje.";"Typically, the organisation allowing the resource to be available on the internet through the provision of its hardware/software/operating support.
This role normally falls on the University, research center or organization where the data center/data repository belongs."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/Producer;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;Producer;Producent;Producer;Obvykle osoba nebo organizace zodpovědná za umělecké zpracování a formu mediálního produktu. V datovém průmyslu se může jednat o společnost „produkující“ DVD pro budoucí šíření distributorem.;"Typically, a person or organisation responsible for the artistry and form of a media product.
In the data industry, this may be a company “producing” DVDs that package data for future dissemination by a distributor."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/ProjectLeader;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;ProjectLeader;Vedoucí projektu;Project Leader;"Osoba, která je oficiálně vedoucím projektového týmu nebo dílčího projektového týmu a podílí se na práci nezbytné pro vývoj zdroje.  
Vedoucí projektu zůstává úzce zapojen do práce po celou dobu existence daného projektového týmu.";"Person officially designated as head of project team or sub- project team instrumental in the work necessary to development of the resource.
The Project Leader is not “removed” from the work that resulted in the resource; he or she remains intimately involved throughout the life of the particular project team."
https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/ProjectManager;https://vocabs.ccmm.cz/registry/codelist/AgentRole/;Contributor;ProjectManager;Projektový manažer;Project Manager;"Osoba, která je oficiálně manažerem projektu. Projekt se může skládat z jednoho nebo více projektových týmů a podtýmů. 
Manažer projektu má obvykle více administrativní odpovědnosti než skutečné pracovní účasti.";"Person officially designated as manager of a project. Project may consist of one or many project teams and sub-teams.
The manager of a project normally has more administrative responsibility than actual work involvement."
