IRI,base IRI,parentId,id,title_cs,title_en,definition_cs,definition_en
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Accepted,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Accepted,Datum přijetí,Date Accepted,"Datum, kdy vydavatel přijal zdroj do svého systému. 
Pro označení začátku období embarga použijte podle potřeby možnost Datum přijetí nebo Datum podání.",The date that the publisher accepted the resource into their system.
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Available,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Available,Datum zveřejnění,Date Available,"Datum, kdy je zdroj zpřístupněn veřejnosti. Může se jednat o časové rozmezí. 
Užívejte i pro označení konce období embarga.",The date the resource is made publicly available. May be a range.
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Copyrighted,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Copyrighted,Datum udělení copyrightu,Date Copyrighted,"Konkrétní, zdokumentované datum, kdy zdroj získá status autorskoprávně chráněného díla, ​​pokud lze na dílo ochranu uplatnit.","The specific, documented date at which the resource receives a copyrighted status, if applicable."
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Collected,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Collected,Datum sběru,Date Collected,"Datum nebo časové rozmezí, ve kterém byl shromážděn obsah zdroje.",The date or date range in which the resource content was collected.
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Coverage,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Coverage,Časové pokrytí,Date Coverage,"Datum nebo časové rozmezí, na které se obsah zdroje vztahuje, které popisuje nebo pokrývá.","The date or date range that the resource content applies to, describes, or covers."
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Created,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Created,Datum vytvoření,Date Created,"Datum, kdy byl zdroj sestaven; může se jednat o datum nebo časové rozmezí v minulosti, nebo o časové rozmezí či datum, kdy byl zdroj finálně zkompletován. 
Doporučeno použít pro lepší vyhledávání.","The date the resource itself was put together; this could refer to a timeframe in ancient history, a date range, or a single date for a final component, e.g., the finalised file with all the data."
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Issued,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Issued,Datum vydání,Date Issued,"Datum, kdy je zdroj zveřejněn nebo distribuován, např. v repozitáři nebo jiném systému.","The date that the resource is published or distributed, e.g., to a data centre."
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Submitted,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Submitted,Datum podání,Date Submitted,"Datum, kdy tvůrce odešle (odevzdá) zdroj vydavateli. Toto datum se může lišit od Data přijetí, pokud vydavatel následně uplatní recenzní proces nebo jiný proces výběru.
Doporučeno použít pro lepší vyhledávání.",The date the creator submits the resource to the publisher. This could be different from Accepted if the publisher then applies a selection process.
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Updated,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Updated,Datum aktualizace,Date Updated,Datum poslední aktualizace zdroje. Může se jednat i o časové rozmezí.,"The date of the last update to the resource, when the resource is being added to. May be a range."
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Valid,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Valid,Datum platnosti,Date Valid,"Datum nebo časové rozmezí, po které je dataset nebo zdroj platný a aktuální.",The date or date range during which the dataset or resource is accurate.
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Withdrawn,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Withdrawn,Datum odstranění,Date Withdrawn,Datum odstranění zdroje. Je vhodné uvést důvod odstranění.,The date the resource is removed.
https://vocabs.ccmm.cz/registry/codelist/TimeReference/Other,https://vocabs.ccmm.cz/registry/codelist/TimeReference/,,Other,Jiné datum,Other date,"Jiná datace, která se vztahuje ke zdroji a nepatří do existující kategorie.",Other date that does not fit into an existing category.
